Lake,Year,Departure/Arrival,Date
Krankesjön,2005/2006,Departure,15/10/2005
Krankesjön,2005/2006,Departure,5/11/2005
Krankesjön,2005/2006,Departure,18/10/2005
Krankesjön,2005/2006,Departure,16/10/2005
Krankesjön,2005/2006,Departure,19/10/2005
Krankesjön,2005/2006,Departure,11/10/2005
Krankesjön,2005/2006,Departure,16/10/2005
Krankesjön,2005/2006,Departure,13/10/2005
Krankesjön,2005/2006,Departure,15/10/2005
Krankesjön,2005/2006,Departure,13/10/2005
Krankesjön,2005/2006,Departure,13/10/2005
Krankesjön,2005/2006,Departure,13/10/2005
Krankesjön,2005/2006,Departure,4/10/2005
Krankesjön,2005/2006,Departure,10/10/2005
Krankesjön,2005/2006,Departure,2/10/2005
Krankesjön,2005/2006,Departure,18/10/2005
Krankesjön,2005/2006,Departure,2/10/2005
Krankesjön,2005/2006,Departure,3/10/2005
Krankesjön,2005/2006,Departure,2/10/2005
Krankesjön,2005/2006,Departure,20/09/2005
Krankesjön,2005/2006,Departure,5/04/2006
Krankesjön,2005/2006,Departure,4/04/2006
Krankesjön,2005/2006,Departure,4/04/2006
Krankesjön,2005/2006,Departure,3/04/2006
Krankesjön,2005/2006,Departure,17/10/2005
Krankesjön,2005/2006,Departure,11/10/2005
Krankesjön,2005/2006,Departure,21/09/2005
Krankesjön,2005/2006,Departure,21/10/2005
Krankesjön,2005/2006,Departure,3/10/2005
Krankesjön,2005/2006,Departure,3/10/2005
Krankesjön,2005/2006,Departure,3/10/2005
Krankesjön,2005/2006,Departure,2/10/2005
Krankesjön,2005/2006,Departure,13/12/2005
Krankesjön,2005/2006,Departure,13/12/2005
Krankesjön,2005/2006,Departure,17/11/2005
Krankesjön,2005/2006,Departure,16/11/2005
Krankesjön,2005/2006,Departure,18/10/2005
Krankesjön,2005/2006,Departure,11/10/2005
Krankesjön,2005/2006,Departure,20/10/2005
Krankesjön,2005/2006,Departure,21/10/2005
Krankesjön,2005/2006,Departure,21/10/2005
Krankesjön,2005/2006,Departure,4/10/2005
Krankesjön,2005/2006,Departure,13/10/2005
Krankesjön,2005/2006,Departure,10/10/2005
Krankesjön,2005/2006,Departure,13/10/2005
Krankesjön,2005/2006,Departure,3/10/2005
Krankesjön,2005/2006,Departure,11/10/2005
Krankesjön,2005/2006,Departure,4/10/2005
Krankesjön,2005/2006,Departure,2/10/2005
Krankesjön,2005/2006,Departure,27/09/2005
Krankesjön,2005/2006,Departure,21/09/2005
Krankesjön,2005/2006,Departure,18/10/2005
Krankesjön,2005/2006,Departure,11/10/2005
Krankesjön,2005/2006,Departure,15/10/2005
Krankesjön,2005/2006,Departure,12/10/2005
Krankesjön,2005/2006,Departure,4/10/2005
Krankesjön,2005/2006,Departure,2/10/2005
Krankesjön,2005/2006,Departure,29/09/2005
Krankesjön,2005/2006,Departure,4/10/2005
Krankesjön,2005/2006,Departure,20/10/2005
Krankesjön,2005/2006,Departure,15/10/2005
Krankesjön,2005/2006,Departure,11/10/2005
Krankesjön,2006/2007,Departure,14/03/2007
Krankesjön,2006/2007,Departure,27/03/2007
Krankesjön,2006/2007,Departure,26/03/2007
Krankesjön,2006/2007,Departure,14/03/2007
Krankesjön,2006/2007,Departure,5/03/2007
Krankesjön,2006/2007,Departure,30/03/2007
Krankesjön,2006/2007,Departure,13/03/2007
Krankesjön,2006/2007,Departure,13/03/2007
Krankesjön,2006/2007,Departure,15/03/2007
Krankesjön,2006/2007,Departure,13/03/2007
Krankesjön,2006/2007,Departure,16/12/2006
Krankesjön,2006/2007,Departure,18/02/2007
Krankesjön,2006/2007,Departure,12/03/2007
Krankesjön,2006/2007,Departure,16/02/2007
Krankesjön,2006/2007,Departure,9/01/2007
Krankesjön,2006/2007,Departure,8/01/2007
Krankesjön,2006/2007,Departure,8/01/2007
Krankesjön,2006/2007,Departure,9/01/2007
Krankesjön,2006/2007,Departure,10/01/2007
Krankesjön,2006/2007,Departure,8/01/2007
Krankesjön,2006/2007,Departure,15/12/2006
Krankesjön,2006/2007,Departure,14/12/2006
Krankesjön,2006/2007,Departure,14/12/2006
Krankesjön,2006/2007,Departure,21/10/2006
Krankesjön,2006/2007,Departure,10/11/2006
Krankesjön,2006/2007,Departure,22/10/2006
Krankesjön,2006/2007,Departure,25/10/2006
Krankesjön,2006/2007,Departure,18/10/2006
Krankesjön,2006/2007,Departure,14/10/2006
Krankesjön,2006/2007,Departure,23/03/2007
Krankesjön,2006/2007,Departure,21/03/2007
Krankesjön,2006/2007,Departure,25/03/2007
Krankesjön,2006/2007,Departure,25/03/2007
Krankesjön,2006/2007,Departure,30/03/2007
Krankesjön,2006/2007,Departure,28/03/2007
Krankesjön,2006/2007,Departure,25/03/2007
Krankesjön,2006/2007,Departure,12/03/2007
Krankesjön,2006/2007,Departure,13/03/2007
Krankesjön,2006/2007,Departure,15/12/2006
Krankesjön,2006/2007,Departure,15/12/2006
Krankesjön,2006/2007,Departure,18/02/2007
Krankesjön,2006/2007,Departure,12/03/2007
Krankesjön,2006/2007,Departure,21/03/2007
Krankesjön,2006/2007,Departure,18/02/2007
Krankesjön,2006/2007,Departure,12/03/2007
Krankesjön,2006/2007,Departure,11/03/2007
Krankesjön,2006/2007,Departure,9/01/2007
Krankesjön,2006/2007,Departure,9/01/2007
Krankesjön,2006/2007,Departure,14/10/2006
Krankesjön,2006/2007,Departure,15/12/2006
Krankesjön,2006/2007,Departure,10/11/2006
Krankesjön,2006/2007,Departure,18/10/2006
Krankesjön,2006/2007,Departure,11/11/2006
Krankesjön,2006/2007,Departure,24/11/2006
Krankesjön,2006/2007,Departure,23/11/2006
Krankesjön,2006/2007,Departure,9/01/2007
Krankesjön,2006/2007,Departure,24/11/2006
Krankesjön,2006/2007,Departure,11/11/2006
Krankesjön,2006/2007,Departure,3/11/2006
Krankesjön,2006/2007,Departure,22/10/2006
Krankesjön,2006/2007,Departure,27/10/2006
Krankesjön,2006/2007,Departure,25/10/2006
Krankesjön,2006/2007,Departure,19/10/2006
Krankesjön,2006/2007,Departure,13/03/2007
Krankesjön,2006/2007,Departure,1/04/2007
Krankesjön,2006/2007,Departure,28/10/2006
Krankesjön,2006/2007,Departure,25/10/2006
Krankesjön,2006/2007,Departure,25/10/2006
Krankesjön,2006/2007,Departure,27/11/2006
Krankesjön,2006/2007,Departure,12/03/2007
Krankesjön,2006/2007,Departure,15/12/2006
Krankesjön,2006/2007,Departure,15/12/2006
Krankesjön,2006/2007,Departure,3/11/2006
Krankesjön,2006/2007,Departure,9/01/2007
Krankesjön,2006/2007,Departure,9/01/2007
Krankesjön,2006/2007,Departure,9/01/2007
Krankesjön,2006/2007,Departure,25/10/2006
Krankesjön,2007/2008,Departure,14/01/2008
Krankesjön,2007/2008,Departure,13/01/2008
Krankesjön,2007/2008,Departure,14/12/2007
Krankesjön,2007/2008,Departure,1/12/2007
Krankesjön,2007/2008,Departure,9/11/2007
Krankesjön,2007/2008,Departure,29/09/2007
Krankesjön,2007/2008,Departure,2/10/2007
Krankesjön,2007/2008,Departure,1/10/2007
Krankesjön,2007/2008,Departure,26/09/2007
Krankesjön,2007/2008,Departure,14/09/2007
Krankesjön,2007/2008,Departure,4/09/2007
Krankesjön,2007/2008,Departure,14/09/2007
Krankesjön,2007/2008,Departure,16/09/2007
Krankesjön,2007/2008,Departure,12/09/2007
Krankesjön,2007/2008,Departure,2/09/2007
Krankesjön,2007/2008,Departure,7/09/2007
Krankesjön,2007/2008,Departure,27/12/2007
Krankesjön,2007/2008,Departure,14/12/2007
Krankesjön,2007/2008,Departure,13/01/2008
Krankesjön,2007/2008,Departure,3/09/2007
Krankesjön,2007/2008,Departure,14/12/2007
Krankesjön,2007/2008,Departure,2/01/2008
Krankesjön,2007/2008,Departure,8/12/2007
Krankesjön,2007/2008,Departure,15/12/2007
Krankesjön,2007/2008,Departure,13/12/2007
Krankesjön,2007/2008,Departure,31/08/2007
Krankesjön,2007/2008,Departure,12/11/2007
Krankesjön,2007/2008,Departure,6/09/2007
Krankesjön,2007/2008,Departure,27/09/2007
Krankesjön,2007/2008,Departure,25/09/2007
Krankesjön,2007/2008,Departure,19/09/2007
Krankesjön,2007/2008,Departure,23/09/2007
Krankesjön,2007/2008,Departure,16/09/2007
Krankesjön,2007/2008,Departure,4/09/2007
Krankesjön,2007/2008,Departure,29/09/2007
Krankesjön,2007/2008,Departure,6/09/2007
Krankesjön,2007/2008,Departure,19/09/2007
Krankesjön,2007/2008,Departure,4/09/2007
Krankesjön,2007/2008,Departure,14/09/2007
Krankesjön,2007/2008,Departure,7/09/2007
Krankesjön,2007/2008,Departure,7/09/2007
Krankesjön,2007/2008,Departure,4/09/2007
Krankesjön,2007/2008,Departure,4/09/2007
Krankesjön,2007/2008,Departure,1/09/2007
Krankesjön,2007/2008,Departure,1/11/2007
